Gamma,Tn1,Tn2,Tn3
0.0,0.06749506981111633,0.059407151519150395,0.046243151409037654
0.1,0.15006156636443807,0.14026037659447885,0.1454685355552326
0.2,0.2516899362254474,0.2586010080692925,0.22733355836049568
0.3,0.3342766211418357,0.34626492143845977,0.32756509597817113
0.4,0.43082544629344105,0.42885240023034615,0.43391627014326883
0.5,0.5217496904778731,0.5081789562136346,0.5165307298431382
0.6,0.6066344261748957,0.6066148272463405,0.6214166110969348
0.7,0.6998087752996923,0.688543933479446,0.7010609246461663
0.8,0.7746676864051023,0.8121227125022177,0.7920587862004579
0.9,0.8801277286443395,0.891476573838838,0.8692885225349622
1.0,0.9756924501038963,0.9743039608271438,0.9586100674678311
