Gamma,Tn1,Tn2,Tn3
0.0,0.0513406815827865,0.05855358951260119,0.024678568262996307
0.1,0.136690612597496,0.14948154358615603,0.1492103610797616
0.2,0.23803511952276898,0.2222036044585794,0.22352166670845133
0.3,0.3184985960628992,0.3378032703029694,0.3090941454814906
0.4,0.4050220303460097,0.4244427268492187,0.4033793977554238
0.5,0.5147471103047362,0.5165258777603785,0.5297998735255157
0.6,0.6397483944540748,0.6141379926251793,0.6224217520208005
0.7,0.7018483837681726,0.7190809250448278,0.6763058077260546
0.8,0.7879754153529513,0.8068750920380676,0.7839117030143496
0.9,0.8920710126395429,0.9019662033755257,0.8675218499055075
1.0,0.9882252982872406,0.997001748506571,0.9712064808140857
